z              u              v              w              q              T              dir            th             tke            
1000.000         -2.309         -2.751          0.000          0.050        281.650          130.0        291.257         10.000
1010.000         -2.311         -2.754          0.000          0.050        281.585          130.0        291.287         10.000
1020.000         -2.313         -2.757          0.000          0.050        281.520          130.0        291.316         10.000
1030.000         -2.315         -2.759          0.000          0.050        281.455          130.0        291.345         10.000
1040.000         -2.317         -2.762          0.000          0.050        281.390          130.0        291.375         10.000
1050.000         -2.319         -2.764          0.000          0.050        281.325          130.0        291.404         10.000
1060.000         -2.322         -2.767          0.000          0.050        281.260          130.0        291.433         10.000
1070.000         -2.324         -2.769          0.000          0.050        281.195          130.0        291.462         10.000
1080.000         -2.326         -2.772          0.000          0.050        281.130          130.0        291.491         10.000
1090.000         -2.328         -2.774          0.000          0.050        281.065          130.0        291.520         10.000
1100.000         -2.330         -2.777          0.000          0.050        281.000          130.0        291.550         10.000
1110.000         -2.332         -2.779          0.000          0.050        280.935          130.0        291.579         10.000
1120.000         -2.334         -2.781          0.000          0.050        280.870          130.0        291.608         10.000
1130.000         -2.336         -2.784          0.000          0.050        280.805          130.0        291.637         10.000
1140.000         -2.338         -2.786          0.000          0.050        280.740          130.0        291.666         10.000
1150.000         -2.340         -2.788          0.000          0.050        280.675          130.0        291.694         10.000
1160.000         -2.342         -2.791          0.000          0.050        280.610          130.0        291.723         10.000
1170.000         -2.343         -2.793          0.000          0.050        280.545          130.0        291.752         10.000
1180.000         -2.345         -2.795          0.000          0.050        280.480          130.0        291.781         10.000
1190.000         -2.347         -2.797          0.000          0.050        280.415          130.0        291.810         10.000
1200.000         -2.349         -2.800          0.000          0.050        280.350          130.0        291.838         10.000
1210.000         -2.351         -2.802          0.000          0.050        280.285          130.0        291.867         10.000
1220.000         -2.353         -2.804          0.000          0.050        280.220          130.0        291.896         10.000
1230.000         -2.355         -2.806          0.000          0.050        280.155          130.0        291.924         10.000
1240.000         -2.356         -2.808          0.000          0.050        280.090          130.0        291.953         10.000
1250.000         -2.358         -2.810          0.000          0.050        280.025          130.0        291.982         10.000
1260.000         -2.360         -2.812          0.000          0.050        279.960          130.0        292.010         10.000
1270.000         -2.362         -2.815          0.000          0.050        279.895          130.0        292.039         10.000
1280.000         -2.363         -2.817          0.000          0.050        279.830          130.0        292.067         10.000
1290.000         -2.365         -2.819          0.000          0.050        279.765          130.0        292.095         10.000
1300.000         -2.367         -2.821          0.000          0.050        279.700          130.0        292.124         10.000
1310.000         -2.369         -2.823          0.000          0.050        279.635          130.0        292.152         10.000
1320.000         -2.370         -2.825          0.000          0.050        279.570          130.0        292.181         10.000
1330.000         -2.372         -2.827          0.000          0.050        279.505          130.0        292.209         10.000
1340.000         -2.374         -2.829          0.000          0.050        279.440          130.0        292.237         10.000
1350.000         -2.375         -2.831          0.000          0.050        279.375          130.0        292.265         10.000
1360.000         -2.377         -2.833          0.000          0.050        279.310          130.0        292.294         10.000
1370.000         -2.378         -2.835          0.000          0.050        279.245          130.0        292.322         10.000
1380.000         -2.380         -2.836          0.000          0.050        279.180          130.0        292.350         10.000
1390.000         -2.382         -2.838          0.000          0.050        279.115          130.0        292.378         10.000
1400.000         -2.383         -2.840          0.000          0.050        279.050          130.0        292.406         10.000
1410.000         -2.385         -2.842          0.000          0.050        278.985          130.0        292.434         10.000
1420.000         -2.386         -2.844          0.000          0.050        278.920          130.0        292.462         10.000
1430.000         -2.388         -2.846          0.000          0.050        278.855          130.0        292.490         10.000
1440.000         -2.390         -2.848          0.000          0.050        278.790          130.0        292.518         10.000
1450.000         -2.391         -2.850          0.000          0.050        278.725          130.0        292.546         10.000
1460.000         -2.393         -2.851          0.000          0.050        278.660          130.0        292.573         10.000
1470.000         -2.394         -2.853          0.000          0.050        278.595          130.0        292.601         10.000
1480.000         -2.396         -2.855          0.000          0.050        278.530          130.0        292.629         10.000
1490.000         -2.397         -2.857          0.000          0.050        278.465          130.0        292.657         10.000
1500.000         -2.399         -2.859          0.000          0.050        278.400          130.0        292.685         10.000
1510.000         -2.400         -2.860          0.000          0.050        278.335          130.0        292.712         10.000
1520.000         -2.402         -2.862          0.000          0.050        278.270          130.0        292.740         10.000
1530.000         -2.403         -2.864          0.000          0.050        278.205          130.0        292.767         10.000
1540.000         -2.404         -2.865          0.000          0.050        278.140          130.0        292.795         10.000
1550.000         -2.406         -2.867          0.000          0.050        278.075          130.0        292.823         10.000
1560.000         -2.407         -2.869          0.000          0.050        278.010          130.0        292.850         10.000
1570.000         -2.409         -2.871          0.000          0.050        277.945          130.0        292.878         10.000
1580.000         -2.410         -2.872          0.000          0.050        277.880          130.0        292.905         10.000
1590.000         -2.411         -2.874          0.000          0.050        277.815          130.0        292.932         10.000
1600.000         -2.413         -2.876          0.000          0.050        277.750          130.0        292.960         10.000
1610.000         -2.414         -2.877          0.000          0.050        277.685          130.0        292.987         10.000
1620.000         -2.416         -2.879          0.000          0.050        277.620          130.0        293.014         10.000
1630.000         -2.417         -2.880          0.000          0.050        277.555          130.0        293.042         10.000
1640.000         -2.418         -2.882          0.000          0.050        277.490          130.0        293.069         10.000
1650.000         -2.420         -2.884          0.000          0.050        277.425          130.0        293.096         10.000
1660.000         -2.421         -2.885          0.000          0.050        277.360          130.0        293.123         10.000
1670.000         -2.422         -2.887          0.000          0.050        277.295          130.0        293.150         10.000
1680.000         -2.424         -2.888          0.000          0.050        277.230          130.0        293.177         10.000
1690.000         -2.425         -2.890          0.000          0.050        277.165          130.0        293.204         10.000
1700.000         -2.426         -2.892          0.000          0.050        277.100          130.0        293.231         10.000
1710.000         -2.428         -2.893          0.000          0.050        277.035          130.0        293.258         10.000
1720.000         -2.429         -2.895          0.000          0.050        276.970          130.0        293.285         10.000
1730.000         -2.430         -2.896          0.000          0.050        276.905          130.0        293.312         10.000
1740.000         -2.431         -2.898          0.000          0.050        276.840          130.0        293.339         10.000
1750.000         -2.433         -2.899          0.000          0.050        276.775          130.0        293.366         10.000
1760.000         -2.434         -2.901          0.000          0.050        276.710          130.0        293.393         10.000
1770.000         -2.435         -2.902          0.000          0.050        276.645          130.0        293.420         10.000
1780.000         -2.437         -2.904          0.000          0.050        276.580          130.0        293.446         10.000
1790.000         -2.438         -2.905          0.000          0.050        276.515          130.0        293.473         10.000
1800.000         -2.439         -2.907          0.000          0.050        276.450          130.0        293.500         10.000
1810.000         -2.440         -2.908          0.000          0.050        276.385          130.0        293.526         10.000
1820.000         -2.441         -2.910          0.000          0.050        276.320          130.0        293.553         10.000
1830.000         -2.443         -2.911          0.000          0.050        276.255          130.0        293.580         10.000
1840.000         -2.444         -2.912          0.000          0.050        276.190          130.0        293.606         10.000
1850.000         -2.445         -2.914          0.000          0.050        276.125          130.0        293.633         10.000
1860.000         -2.446         -2.915          0.000          0.050        276.060          130.0        293.659         10.000
1870.000         -2.447         -2.917          0.000          0.050        275.995          130.0        293.686         10.000
1880.000         -2.449         -2.918          0.000          0.050        275.930          130.0        293.712         10.000
1890.000         -2.450         -2.920          0.000          0.050        275.865          130.0        293.738         10.000
1900.000         -2.451         -2.921          0.000          0.050        275.800          130.0        293.765         10.000
1910.000         -2.452         -2.922          0.000          0.050        275.735          130.0        293.791         10.000
1920.000         -2.453         -2.924          0.000          0.050        275.670          130.0        293.817         10.000
1930.000         -2.454         -2.925          0.000          0.050        275.605          130.0        293.843         10.000
1940.000         -2.456         -2.926          0.000          0.050        275.540          130.0        293.870         10.000
1950.000         -2.457         -2.928          0.000          0.050        275.475          130.0        293.896         10.000
1960.000         -2.458         -2.929          0.000          0.050        275.410          130.0        293.922         10.000
1970.000         -2.459         -2.931          0.000          0.050        275.345          130.0        293.948         10.000
1980.000         -2.460         -2.932          0.000          0.050        275.280          130.0        293.974         10.000
1990.000         -2.461         -2.933          0.000          0.050        275.215          130.0        294.000         10.000
2000.000         -2.462         -2.935          0.000          0.050        275.150          130.0        294.026         10.000
2010.000         -2.463         -2.936          0.000          0.050        275.085          130.0        294.052         10.000
2020.000         -2.465         -2.937          0.000          0.050        275.020          130.0        294.078         10.000
2030.000         -2.466         -2.938          0.000          0.050        274.955          130.0        294.104         10.000
2040.000         -2.467         -2.940          0.000          0.050        274.890          130.0        294.130         10.000
2050.000         -2.468         -2.941          0.000          0.050        274.825          130.0        294.155         10.000
2060.000         -2.469         -2.942          0.000          0.050        274.760          130.0        294.181         10.000
2070.000         -2.470         -2.944          0.000          0.050        274.695          130.0        294.207         10.000
2080.000         -2.471         -2.945          0.000          0.050        274.630          130.0        294.233         10.000
2090.000         -2.472         -2.946          0.000          0.050        274.565          130.0        294.258         10.000
2100.000         -2.473         -2.947          0.000          0.050        274.500          130.0        294.284         10.000
2110.000         -2.474         -2.949          0.000          0.050        274.435          130.0        294.310         10.000
2120.000         -2.475         -2.950          0.000          0.050        274.370          130.0        294.335         10.000
2130.000         -2.476         -2.951          0.000          0.050        274.305          130.0        294.361         10.000
2140.000         -2.477         -2.952          0.000          0.050        274.240          130.0        294.386         10.000
2150.000         -2.478         -2.954          0.000          0.050        274.175          130.0        294.412         10.000
2160.000         -2.479         -2.955          0.000          0.050        274.110          130.0        294.437         10.000
2170.000         -2.480         -2.956          0.000          0.050        274.045          130.0        294.462         10.000
